pkt arrive time in UTC,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR2,I_FDR3,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1619324911.33360,1.00000,99,255,4,142,1231,2000,BFP,231,1619324910,0,1,1,0,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324912.33488,1.00128,99,255,4,142,1231,2000,BFP,231,1619324910,0,1,1,1,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324912.59317,1.00000,23,255,1,147,1111,2000,PIOC,111,1619324911,0,1,1,0,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324913.33528,1.00040,99,255,4,142,1231,2000,BFP,231,1619324910,0,1,1,2,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324913.52035,1.00000,32,255,2,147,1121,2000,PIOC,121,1619324912,0,1,1,0,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324913.52053,1.00000,11,255,3,152,1131,2000,PIOC,131,1619324912,0,1,1,0,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324913.59349,1.00032,23,255,1,147,1111,2000,PIOC,111,1619324911,0,1,1,1,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324914.33620,1.00092,99,255,4,142,1231,2000,BFP,231,1619324910,0,1,1,3,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324914.52070,1.00035,32,255,2,147,1121,2000,PIOC,121,1619324912,0,1,1,1,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324914.52164,1.00111,11,255,3,152,1131,2000,PIOC,131,1619324912,0,1,1,1,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324914.59387,1.00038,23,255,1,147,1111,2000,PIOC,111,1619324911,0,1,1,2,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324915.33657,1.00037,99,255,4,142,1231,2000,BFP,231,1619324910,0,1,1,4,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324915.52116,1.00046,32,255,2,147,1121,2000,PIOC,121,1619324912,0,1,1,2,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324915.52189,1.00025,11,255,3,152,1131,2000,PIOC,131,1619324912,0,1,1,2,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324915.59441,1.00054,23,255,1,147,1111,2000,PIOC,111,1619324911,0,1,1,3,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324916.33705,1.00048,99,255,4,142,1231,2000,BFP,231,1619324910,0,1,1,5,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324916.52149,1.00033,32,255,2,147,1121,2000,PIOC,121,1619324912,0,1,1,3,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324916.52245,1.00056,11,255,3,152,1131,2000,PIOC,131,1619324912,0,1,1,3,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324916.59542,1.00101,23,255,1,147,1111,2000,PIOC,111,1619324911,0,1,1,4,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324917.33747,1.00042,99,255,4,142,1231,2000,BFP,231,1619324910,0,1,1,6,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324917.52190,1.00041,32,255,2,147,1121,2000,PIOC,121,1619324912,0,1,1,4,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324917.52289,1.00044,11,255,3,152,1131,2000,PIOC,131,1619324912,0,1,1,4,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324917.59613,1.00071,23,255,1,147,1111,2000,PIOC,111,1619324911,0,1,1,5,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324918.33782,1.00035,99,255,4,142,1231,2000,BFP,231,1619324910,0,1,1,7,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324918.52226,1.00036,32,255,2,147,1121,2000,PIOC,121,1619324912,0,1,1,5,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324918.52331,1.00042,11,255,3,152,1131,2000,PIOC,131,1619324912,0,1,1,5,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324918.59661,1.00048,23,255,1,147,1111,2000,PIOC,111,1619324911,0,1,1,6,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619324919.33828,1.00046,99,255,4,142,1231,2000,BFP,231,1619324910,0,1,1,8,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
