pkt arrive time in UTC,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR2,I_FDR3,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1619331448.80112,1.00078,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,8,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331449.53318,0.99771,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,8,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331449.57621,1.00094,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,9,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331449.58831,1.00135,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,7,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331449.80149,1.00037,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,9,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331450.53342,1.00024,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,9,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331450.57791,1.00170,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,10,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331450.58796,0.99965,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,8,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331450.80224,1.00075,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,10,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331451.53327,0.99985,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,10,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331451.57782,0.99991,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,11,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331451.58933,1.00137,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,9,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331451.80261,1.00037,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,11,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331452.53357,1.00030,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,11,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331452.57848,1.00066,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,12,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331452.58991,1.00058,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,10,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331452.80287,1.00026,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,12,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331453.53508,1.00151,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,12,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331453.57987,1.00139,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,13,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331453.59075,1.00084,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,11,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331453.80345,1.00058,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,13,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331454.53519,1.00011,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,13,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331454.58025,1.00038,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,14,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331454.59186,1.00111,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,12,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331454.80448,1.00103,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,14,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331455.53529,1.00010,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,14,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331455.58065,1.00040,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,15,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331455.59250,1.00064,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,13,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331455.80650,1.00202,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,15,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331456.53558,1.00029,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,15,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331456.58099,1.00034,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,16,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331456.59336,1.00086,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,14,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331456.80690,1.00040,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,16,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331457.53613,1.00055,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,16,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331457.58196,1.00097,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,17,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331457.59360,1.00024,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,15,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331457.80728,1.00038,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,17,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331458.53644,1.00031,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,17,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331458.58247,1.00051,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,18,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
