pkt arrive time in UTC,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR2,I_FDR3,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1619327694.44786,1.00000,23,255,1,147,1111,2000,PIOC,111,1619327693,0,1,1,0,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619327694.72632,1.00000,99,255,4,142,1231,2000,BFP,231,1619327693,0,1,1,0,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619327695.44869,1.00083,23,255,1,147,1111,2000,PIOC,111,1619327693,0,1,1,1,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619327695.72664,1.00032,99,255,4,142,1231,2000,BFP,231,1619327693,0,1,1,1,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619327695.82124,1.00000,11,255,3,152,1131,2000,PIOC,131,1619327694,0,1,1,0,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619327696.44896,1.00027,23,255,1,147,1111,2000,PIOC,111,1619327693,0,1,1,2,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619327696.72738,1.00074,99,255,4,142,1231,2000,BFP,231,1619327693,0,1,1,2,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619327696.82181,1.00057,11,255,3,152,1131,2000,PIOC,131,1619327694,0,1,1,1,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619327697.44928,1.00032,23,255,1,147,1111,2000,PIOC,111,1619327693,0,1,1,3,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619327697.72795,1.00057,99,255,4,142,1231,2000,BFP,231,1619327693,0,1,1,3,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619327697.82258,1.00077,11,255,3,152,1131,2000,PIOC,131,1619327694,0,1,1,2,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619327698.30771,1.00000,32,255,2,147,1121,2000,PIOC,121,1619327697,0,1,1,0,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
