year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR2,I_FDR3,I_FDR4
2021,4,25,15,23,15,202,1619328195.202000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,15,328,1619328195.328000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,15,452,1619328195.452000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,15,573,1619328195.573000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,15,700,1619328195.700000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,15,822,1619328195.822000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,15,939,1619328195.939000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,16,58,1619328196.058000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,16,176,1619328196.176000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,16,292,1619328196.292000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,16,423,1619328196.423000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,16,537,1619328196.537000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,16,662,1619328196.662000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,16,781,1619328196.781000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,16,910,1619328196.910000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,17,28,1619328197.028000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,17,146,1619328197.146000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,17,269,1619328197.269000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,17,383,1619328197.383000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,17,510,1619328197.510000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,17,627,1619328197.627000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,17,758,1619328197.758000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,17,885,1619328197.885000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,18,12,1619328198.012000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,18,136,1619328198.136000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,18,260,1619328198.260000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,18,380,1619328198.380000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,18,508,1619328198.508000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,18,631,1619328198.631000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,18,750,1619328198.750000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,18,869,1619328198.869000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,18,989,1619328198.989000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,19,106,1619328199.106000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,19,224,1619328199.224000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,19,351,1619328199.351000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,19,470,1619328199.470000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,19,599,1619328199.599000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,19,724,1619328199.724000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,19,842,1619328199.842000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,19,964,1619328199.964000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,20,83,1619328200.083000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,20,213,1619328200.213000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,20,330,1619328200.330000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,20,452,1619328200.452000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,20,569,1619328200.569000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,20,693,1619328200.693000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,20,811,1619328200.811000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,20,928,1619328200.928000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,21,51,1619328201.051000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,21,174,1619328201.174000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,21,300,1619328201.300000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,21,426,1619328201.426000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,21,548,1619328201.548000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,21,674,1619328201.674000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,21,798,1619328201.798000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,21,923,1619328201.923000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,22,49,1619328202.049000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,22,169,1619328202.169000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,22,293,1619328202.293000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,22,419,1619328202.419000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,22,547,1619328202.547000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,22,675,1619328202.675000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,22,799,1619328202.799000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,22,926,1619328202.926000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,23,48,1619328203.048000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,23,168,1619328203.168000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,23,288,1619328203.288000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,23,416,1619328203.416000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,23,540,1619328203.540000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,23,664,1619328203.664000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,23,787,1619328203.787000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,23,912,1619328203.912000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,24,36,1619328204.036000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,24,155,1619328204.155000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,24,276,1619328204.276000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,24,397,1619328204.397000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,24,524,1619328204.524000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,24,648,1619328204.648000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,24,769,1619328204.769000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,24,890,1619328204.890000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,25,7,1619328205.007000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,25,135,1619328205.135000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,25,270,1619328205.270000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,25,388,1619328205.388000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,25,508,1619328205.508000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,25,635,1619328205.635000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,25,752,1619328205.752000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,25,881,1619328205.881000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,25,999,1619328205.999000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,26,120,1619328206.120000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,26,242,1619328206.242000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,26,367,1619328206.367000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,26,484,1619328206.484000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,26,601,1619328206.601000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,26,728,1619328206.728000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,26,848,1619328206.848000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,26,970,1619328206.970000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,27,88,1619328207.088000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,27,209,1619328207.209000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,27,336,1619328207.336000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,27,458,1619328207.458000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,27,574,1619328207.574000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,27,697,1619328207.697000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,27,827,1619328207.827000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,27,945,1619328207.945000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,28,72,1619328208.072000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,28,190,1619328208.190000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,28,318,1619328208.318000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,28,436,1619328208.436000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,28,555,1619328208.555000,0,0,0,0,0,0,0,26,26,26,26,
