pkt arrive time in UTC,,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1609744786.55391,0,1.00017,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,7,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744786.80880,0,1.00022,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,7,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744787.43937,0,1.00038,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,9,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744787.52039,0,1.00113,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,9,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744787.55455,0,1.00064,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,8,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744787.80993,0,1.00113,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,8,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744788.43970,0,1.00033,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,10,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744788.52080,0,1.00041,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,10,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744788.55480,0,1.00025,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,9,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744788.81368,0,1.00375,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,9,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744789.44025,0,1.00055,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,11,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744789.52120,0,1.00040,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,11,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744789.55510,0,1.00030,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,10,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744789.81408,0,1.00040,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,10,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744790.44128,0,1.00103,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,12,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744790.52207,0,1.00087,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,12,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744790.55625,0,1.00115,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,11,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744790.81483,0,1.00075,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,11,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744791.44270,0,1.00142,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,13,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744791.52251,0,1.00044,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,13,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744791.55650,0,1.00025,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,12,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744791.81624,0,1.00141,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,12,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744792.44397,0,1.00127,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,14,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744792.52276,0,1.00025,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,14,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744792.55691,0,1.00041,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,13,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744792.81655,0,1.00031,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,13,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744793.44414,0,1.00017,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,15,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744793.52326,0,1.00050,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,15,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744793.55737,0,1.00046,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,14,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744793.81697,0,1.00042,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,14,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744794.44488,0,1.00074,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,16,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744794.52392,0,1.00066,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,16,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744794.55790,0,1.00053,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,15,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744794.81742,0,1.00045,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,15,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744795.44552,0,1.00064,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,17,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744795.52448,0,1.00056,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,17,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744795.55832,0,1.00042,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,16,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744795.81822,0,1.00080,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,16,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744796.44734,0,1.00182,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,18,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744796.52545,0,1.00097,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,18,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744796.55858,0,1.00026,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,17,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744796.81917,0,1.00095,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,17,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744797.44870,0,1.00136,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,19,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744797.52584,0,1.00039,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,19,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744797.55910,0,1.00052,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,18,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744797.81959,0,1.00042,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,18,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744798.44909,0,1.00039,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,20,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744798.52717,0,1.00133,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,20,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744798.55948,0,1.00038,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,19,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744798.81999,0,1.00040,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,19,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744799.44952,0,1.00043,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,21,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744799.52739,0,1.00022,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,21,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744799.55990,0,1.00042,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,20,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744799.82039,0,1.00040,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,20,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744800.45047,0,1.00095,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,22,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744800.52779,0,1.00040,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,22,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744800.56092,0,1.00102,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,21,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744800.82121,0,1.00082,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,21,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744801.45101,0,1.00054,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,23,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744801.52798,0,1.00019,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,23,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744801.56128,0,1.00036,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,22,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744801.82226,0,1.00105,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,22,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744802.45137,0,1.00036,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,24,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744802.52833,0,1.00035,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,24,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744802.56172,0,1.00044,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,23,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744802.82263,0,1.00037,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,23,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744803.45204,0,1.00067,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,25,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744803.52941,0,1.00108,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,25,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744803.56204,0,1.00032,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,24,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744803.82295,0,1.00032,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,24,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744804.45240,0,1.00036,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,26,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744804.52964,0,1.00023,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,26,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744804.56299,0,1.00095,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,25,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744804.82355,0,1.00060,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,25,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744805.45307,0,1.00067,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,27,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744805.53018,0,1.00054,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,27,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744805.56339,0,1.00040,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,26,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744805.82384,0,1.00029,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,26,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744806.45339,0,1.00032,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,28,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744806.53060,0,1.00042,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,28,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744806.56373,0,1.00034,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,27,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744806.82439,0,1.00055,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,27,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744807.45420,0,1.00081,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,29,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744807.53187,0,1.00127,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,29,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744807.56427,0,1.00054,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,28,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744807.82467,0,1.00028,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,28,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744808.45468,0,1.00048,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,30,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744808.53175,0,0.99988,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,30,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744808.56461,0,1.00034,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,29,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744808.82559,0,1.00092,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,29,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744809.45508,0,1.00040,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,31,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744809.53207,0,1.00032,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,31,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744809.56532,0,1.00071,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,30,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744809.82592,0,1.00033,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,30,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744810.45532,0,1.00024,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,32,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744810.53264,0,1.00057,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,32,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
