pkt arrive time in UTC,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR2,I_FDR3,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1619330015.37715,1.00000,23,255,1,147,1111,2000,PIOC,111,1619330014,0,1,1,0,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619330015.70216,1.00000,32,255,2,147,1121,2000,PIOC,121,1619330013,0,1,1,0,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619330016.33863,1.00000,99,255,4,142,1231,2000,BFP,231,1619330015,0,1,1,0,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619330016.37790,1.00075,23,255,1,147,1111,2000,PIOC,111,1619330014,0,1,1,1,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619330016.70254,1.00038,32,255,2,147,1121,2000,PIOC,121,1619330013,0,1,1,1,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619330017.33894,1.00031,99,255,4,142,1231,2000,BFP,231,1619330015,0,1,1,1,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619330017.37898,1.00108,23,255,1,147,1111,2000,PIOC,111,1619330014,0,1,1,2,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619330017.70234,0.99980,32,255,2,147,1121,2000,PIOC,121,1619330013,0,1,1,2,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619330018.07980,1.00000,11,255,3,152,1131,2000,PIOC,131,1619330017,0,1,1,0,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619330018.33930,1.00036,99,255,4,142,1231,2000,BFP,231,1619330015,0,1,1,2,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619330018.37956,1.00058,23,255,1,147,1111,2000,PIOC,111,1619330014,0,1,1,3,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619330018.70243,1.00009,32,255,2,147,1121,2000,PIOC,121,1619330013,0,1,1,3,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619330019.08006,1.00026,11,255,3,152,1131,2000,PIOC,131,1619330017,0,1,1,1,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
