pkt arrive time in UTC,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR2,I_FDR3,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1619331054.64321,1.00000,23,255,1,147,1111,2000,PIOC,111,1619331053,0,1,1,0,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331054.70463,1.00000,32,255,2,147,1121,2000,PIOC,121,1619331053,0,1,1,0,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331055.64345,1.00024,23,255,1,147,1111,2000,PIOC,111,1619331053,0,1,1,1,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331055.70496,1.00033,32,255,2,147,1121,2000,PIOC,121,1619331053,0,1,1,1,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331056.11873,1.00000,99,255,4,142,1231,2000,BFP,231,1619331055,0,1,1,0,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331056.64403,1.00058,23,255,1,147,1111,2000,PIOC,111,1619331053,0,1,1,2,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331056.70547,1.00051,32,255,2,147,1121,2000,PIOC,121,1619331053,0,1,1,2,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331057.11928,1.00055,99,255,4,142,1231,2000,BFP,231,1619331055,0,1,1,1,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331057.29553,1.00000,11,255,3,152,1131,2000,PIOC,131,1619331056,0,1,1,0,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331057.64438,1.00035,23,255,1,147,1111,2000,PIOC,111,1619331053,0,1,1,3,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
