year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR2,I_FDR3,I_FDR4
2021,4,25,15,33,1,736,1619328781.736000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,1,864,1619328781.864000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,1,980,1619328781.980000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,2,98,1619328782.098000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,2,211,1619328782.211000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,2,324,1619328782.324000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,2,436,1619328782.436000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,2,551,1619328782.551000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,2,668,1619328782.668000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,2,784,1619328782.784000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,2,898,1619328782.898000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,3,12,1619328783.012000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,3,127,1619328783.127000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,3,247,1619328783.247000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,3,369,1619328783.369000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,3,484,1619328783.484000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,3,603,1619328783.603000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,3,721,1619328783.721000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,3,834,1619328783.834000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,3,950,1619328783.950000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,4,68,1619328784.068000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,4,188,1619328784.188000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,4,303,1619328784.303000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,4,420,1619328784.420000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,4,537,1619328784.537000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,4,657,1619328784.657000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,4,776,1619328784.776000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,4,891,1619328784.891000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,5,7,1619328785.007000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,5,125,1619328785.125000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,5,241,1619328785.241000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,5,356,1619328785.356000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,5,477,1619328785.477000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,5,601,1619328785.601000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,5,716,1619328785.716000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,5,833,1619328785.833000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,5,956,1619328785.956000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,6,77,1619328786.077000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,6,194,1619328786.194000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,6,310,1619328786.310000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,6,427,1619328786.427000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,6,540,1619328786.540000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,6,654,1619328786.654000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,6,776,1619328786.776000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,6,893,1619328786.893000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,7,16,1619328787.016000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,7,131,1619328787.131000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,7,253,1619328787.253000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,7,378,1619328787.378000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,7,498,1619328787.498000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,7,615,1619328787.615000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,7,731,1619328787.731000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,7,845,1619328787.845000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,7,963,1619328787.963000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,8,86,1619328788.086000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,8,202,1619328788.202000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,8,325,1619328788.325000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,8,451,1619328788.451000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,8,571,1619328788.571000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,8,696,1619328788.696000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,8,821,1619328788.821000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,8,940,1619328788.940000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,9,62,1619328789.062000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,9,181,1619328789.181000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,9,299,1619328789.299000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,9,414,1619328789.414000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,9,536,1619328789.536000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,9,653,1619328789.653000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,9,770,1619328789.770000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,9,894,1619328789.894000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,10,14,1619328790.014000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,10,137,1619328790.137000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,10,260,1619328790.260000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,10,381,1619328790.381000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,10,506,1619328790.506000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,10,630,1619328790.630000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,10,758,1619328790.758000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,10,873,1619328790.873000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,10,995,1619328790.995000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,33,11,120,1619328791.120000,0,0,0,0,0,0,0,26,26,26,26,
