pkt arrive time in UTC,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR2,I_FDR3,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1619328191.18958,1.00000,23,255,1,147,1111,2000,PIOC,111,1619328190,0,1,1,0,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619328191.52352,1.00000,99,255,4,142,1231,2000,BFP,231,1619328190,0,1,1,0,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619328192.19009,1.00051,23,255,1,147,1111,2000,PIOC,111,1619328190,0,1,1,1,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619328192.52384,1.00032,99,255,4,142,1231,2000,BFP,231,1619328190,0,1,1,1,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619328193.19060,1.00051,23,255,1,147,1111,2000,PIOC,111,1619328190,0,1,1,2,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619328193.52430,1.00046,99,255,4,142,1231,2000,BFP,231,1619328190,0,1,1,2,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619328193.54185,1.00000,32,255,2,147,1121,2000,PIOC,121,1619328192,0,1,1,0,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619328193.82635,1.00000,11,255,3,152,1131,2000,PIOC,131,1619328192,0,1,1,0,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619328194.19112,1.00052,23,255,1,147,1111,2000,PIOC,111,1619328190,0,1,1,3,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619328194.52473,1.00043,99,255,4,142,1231,2000,BFP,231,1619328190,0,1,1,3,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619328194.54232,1.00047,32,255,2,147,1121,2000,PIOC,121,1619328192,0,1,1,1,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619328194.82736,1.00101,11,255,3,152,1131,2000,PIOC,131,1619328192,0,1,1,1,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619328195.19145,1.00033,23,255,1,147,1111,2000,PIOC,111,1619328190,0,1,1,4,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619328195.52507,1.00034,99,255,4,142,1231,2000,BFP,231,1619328190,0,1,1,4,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619328195.54262,1.00030,32,255,2,147,1121,2000,PIOC,121,1619328192,0,1,1,2,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619328195.82762,1.00026,11,255,3,152,1131,2000,PIOC,131,1619328192,0,1,1,2,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619328196.19227,1.00082,23,255,1,147,1111,2000,PIOC,111,1619328190,0,1,1,5,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619328196.52601,1.00094,99,255,4,142,1231,2000,BFP,231,1619328190,0,1,1,5,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619328196.54366,1.00104,32,255,2,147,1121,2000,PIOC,121,1619328192,0,1,1,3,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
